22	377	1	878887116
305	451	3	886324817
291	1042	4	874834944
102	768	2	883748450
301	98	4	882075827
157	274	4	886890835
99	4	5	886519097
81	432	2	876535131
115	20	3	881171009
138	26	5	879024232
92	1049	1	890251826
127	229	5	884364867
11	111	4	891903862
87	1016	4	879876194
293	685	3	888905170
271	132	5	885848672
90	648	4	891384754
298	317	4	884182806
82	135	3	878769629
250	140	3	878092059
194	1211	2	879551380
305	427	5	886323090
160	135	4	876860807
42	794	3	881108425
172	177	4	875537965
279	1240	1	892174404
268	1035	2	875542174
213	172	5	878955442
26	930	2	891385985
292	174	5	881105481
181	220	4	878962392
58	1098	4	884304936
272	178	5	879455113
303	69	5	879467542
294	109	4	877819599
36	339	5	882157581
250	7	4	878089716
268	2	2	875744173
214	334	3	891542540
307	89	5	879283786
85	507	4	879456199
292	11	5	881104093
222	118	4	877563802
201	695	1	884140115
95	135	3	879197562
244	673	3	880606667
170	749	5	887646170
128	204	4	879967478
94	343	4	891725009
215	212	2	891435680
13	56	5	881515011
286	237	2	875806800
271	199	4	885848448
87	40	3	879876917
49	959	2	888068912
10	175	3	877888677
13	344	2	888073635
296	20	5	884196921
38	758	1	892434626
13	186	4	890704999
83	78	2	880309089
92	501	2	875653665
160	460	2	876861185
213	515	4	878870518
250	238	4	878089963
213	176	4	878956338
85	259	2	881705026
201	960	2	884112077
299	305	3	879737314
96	156	4	884402860
73	480	4	888625753
200	365	5	884129962
184	187	4	889909024
54	742	5	880934806
224	77	4	888103872
128	371	1	879966954
45	25	4	881014015
293	249	3	888905229
198	58	3	884208173
192	1061	4	881368891
119	382	5	874781742
90	259	2	891382392
94	744	4	891721462
62	12	4	879373613
308	81	5	887737293
230	742	5	880485043
69	240	3	882126156
279	399	4	875313859
78	323	1	879633567
226	242	5	883888671
306	235	4	876504354
173	289	4	877556988
7	497	4	891352134
269	705	2	891448850
246	409	2	884923372
292	661	5	881105561
18	86	4	880129731
72	866	4	880035887
165	216	4	879525778
263	96	4	891298336
49	302	4	888065432
15	25	3	879456204
16	55	5	877717956
276	64	5	874787441
262	931	2	879790874
13	823	5	882397833
217	2	3	889069782
125	80	4	892838865
262	28	3	879792220
37	288	4	880915258
49	1003	2	888068651
42	1028	4	881106072
272	317	4	879454977
221	1010	3	875246662
44	449	5	883613334
90	22	4	891384357
21	440	1	874951798
299	387	2	889502756
254	121	3	886472369
64	736	4	889739212
191	751	3	891560753
16	194	5	877720733
311	654	3	884365075
6	463	4	883601713
254	357	3	886472466
104	285	4	888465201
110	944	3	886989501
6	258	2	883268278
221	48	5	875245462
150	181	5	878746685
174	937	5	886432989
99	1016	5	885678724
2	251	5	888552084
24	64	5	875322758
161	318	3	891170824
16	8	5	877722736
288	305	4	886372527
